,T39.SI,S59.SI,U96.SI,A17U.SI,N21.SI,U14.SI,U11.SI,S63.SI,O39.SI,C61U.SI,CC3.SI,MC0.SI,C09.SI,Y92.SI,BN4.SI,S58.SI,D05.SI,C52.SI,C38U.SI,Z74.SI,C31.SI,F34.SI,J36.SI,G13.SI,C07.SI,S51.SI,BS6.SI,H78.SI,E5H.SI
0,0.0498171512437,0.0764928967854,0.24454632797,0.107294692813,0.555657666013,0.104644604583,0.0661698334075,0.113452207296,0.0675282264336,0.0962112925398,0.0770032802342,0.158079993421,0.129439275408,0.137789235621,0.115336979522,0.105638885358,0.0787278143059,0.132025442366,0.0853943138901,0.0739808054029,0.115386203568,0.119812765414,0.150543677558,0.126653104417,0.12332925462,0.172529976987,0.196738498518,0.146869055316,0.350020323047
1,0.0481887854017,0.076492894421,0.243679828408,0.110499914495,0.550281161323,0.104644604533,0.0830911383961,0.110339754028,0.067528221104,0.0850965767139,0.0742008607723,0.134585870991,0.129439274403,2.58350262845,0.142248911795,0.105133858671,0.064687129652,0.15610318626,0.0756812935445,0.0755389019478,0.115386202047,0.0937718695424,0.137388612508,0.196562776149,0.150048938177,0.307706935458,0.229058903229,0.106628578709,0.248245864346
2,0.0543143453725,0.0758388872846,0.156727100254,0.110499914917,0.550030542999,0.10464460656,0.0718051298728,0.113452205351,0.0675282213953,0.096211292363,0.0770032808348,0.158079993001,0.129439275428,0.134252580303,0.114942865754,0.105638885953,0.0787278155464,0.156103189318,0.0853943171813,0.0907141582911,0.090137394364,0.0951893797228,0.150543676782,0.15668020582,0.244150880881,0.307862388907,0.20432587799,0.146869054392,0.350020325004
3,0.05431434577,0.0757442522922,0.244546325573,0.11049991413,0.549584101938,0.104072957058,0.0609915046663,0.0947908092111,0.0675282211571,0.0961244277699,0.0763501809103,0.158051020895,0.11111868581,2.58350262442,0.124347344872,0.105638886892,0.0624367888505,0.156103186158,0.0853943182657,0.074289049107,0.0933996296185,0.119812760627,0.15054367509,0.224613347635,0.148434721814,0.151730102808,0.229058903959,0.146869053999,0.350020323902
4,0.049170332985,0.0764928940326,0.243671686553,0.110499914214,0.569493967111,0.0892807392357,0.0647910503548,0.113452207269,0.067528221984,0.096211292549,0.0770032797198,0.13321041478,0.110877157223,2.58350262774,0.114368379814,0.104650412652,0.059629840887,0.156103186786,0.0853943181206,0.0773493669699,0.0962231512702,0.119812760242,0.150543676124,0.224613345599,0.209533979355,0.174409327753,0.228974825019,0.146869054231,0.179825381632
5,0.0451805160968,0.0764928933519,0.24454633194,0.110499914306,0.568824426951,0.100622375425,0.0688924696382,0.0858480121391,0.0458638943417,0.0962112907136,0.0770032801067,0.158079992592,0.103313633666,0.129887184765,0.111865323057,0.105229510437,0.0787278148595,0.156103184927,0.0853849374661,0.0679897806362,0.115386201751,0.119812759049,0.150543675529,0.196876040733,0.244150876386,0.166314034739,0.229058905132,0.142199863101,0.350020323958
6,0.0467380516627,0.0764198023581,0.161061615156,0.11049991343,0.548673386331,0.104644604871,0.083091140121,0.0905081726338,0.0486661935372,0.0853753053081,0.0770032804843,0.158079992495,0.105559456374,2.58350262234,0.120763082286,0.100931094674,0.0787278153077,0.156103186063,0.0817370002297,0.0730716082755,0.115386202711,0.106423573576,0.115554836727,0.190271431861,0.141355152293,0.307862393169,0.229058904491,0.134056837104,0.178595874755
7,0.0543143460854,0.076492894421,0.244546331874,0.110066246651,1.06420870781,0.0683798915132,0.0830911429125,0.113452210737,0.0675282214474,0.0962112943179,0.0770032792876,0.100908909308,0.129439275043,0.130984658176,0.170733994237,0.105315936772,0.078727813345,0.156103186627,0.085201459746,0.0911587281482,0.115386200792,0.119812763844,0.150543675275,0.224613341363,0.244150886745,0.307862392417,0.229058903258,0.146869072914,0.170079213358
8,0.0503339757573,0.0764928941788,0.17451590003,0.110499917615,0.580188834068,0.0937212140336,0.0830911378562,0.10241151239,0.0675282225945,0.0962112921145,0.0742069585978,0.129979045872,0.112064948791,2.58350263519,0.170733991253,0.105175367251,0.0600464212137,0.156103186114,0.0853943174187,0.0762701425049,0.0868991821845,0.11981276019,0.150437362954,0.224613346001,0.244150880555,0.218536024519,0.229058905362,0.117083696737,0.186396811452
9,0.0480390143556,0.0764928990326,0.184179927218,0.110499913123,0.547903335217,0.104644602345,0.0830911417014,0.113452207702,0.0472971050013,0.0933125900762,0.0769885306539,0.158079994162,0.0902898178623,0.132221797074,0.17073399354,0.10563888882,0.0596616174969,0.156103186241,0.0852428632115,0.0911587217937,0.08440796134,0.119812759804,0.150543676034,0.177811091558,0.16590059061,0.307862394395,0.229058904641,0.146869056528,0.175449052115
10,0.05431434673,0.0764928912149,0.150306513323,0.0992743383373,1.06420871777,0.104644606383,0.0639866907135,0.113452207859,0.0675282209554,0.0748039669302,0.0770032798468,0.116304951926,0.111294839106,0.131260258423,0.11222416867,0.105638888338,0.0787278153819,0.156103185907,0.0851886795546,0.0911587200186,0.115386204094,0.0992414310199,0.150543675338,0.125077951876,0.155797315615,0.189838497605,0.179271731594,0.0984004081398,0.350020325081
11,0.0543143455592,0.0764928947054,0.173677156304,0.0900359824224,1.06420870635,0.080649933967,0.0830911396055,0.0910802620703,0.051453991278,0.0798533070903,0.0770032800864,0.125560745216,0.0978250451679,2.58350263153,0.170733991486,0.0706689560141,0.0787278149879,0.156019166442,0.0745676755487,0.0765900264306,0.0826852701474,0.0960822987143,0.150543675739,0.224613346241,0.189357670389,0.307862395833,0.22905890393,0.127150840302,0.183415516434
12,0.0543143408378,0.07649289926,0.244546327973,0.110499914596,0.549256229634,0.104644604631,0.0830911394931,0.105081458402,0.0675282208829,0.0941048757557,0.0742656079299,0.15807999173,0.12943927468,0.126293868054,0.170733990103,0.105638886636,0.0787278155631,0.107780901887,0.0853943187291,0.091158720412,0.11538620155,0.119812759118,0.0739317219356,0.224613346011,0.169473236159,0.307862393461,0.229058902404,0.129997351086,0.1749286737
13,0.0543143453623,0.0764660606673,0.244546326857,0.10533472782,0.55207886592,0.104644604768,0.0830911383988,0.113452207164,0.0554034216082,0.0921990902978,0.0770032808394,0.121175793784,0.0994007468869,0.130677022445,0.140904003107,0.105638894718,0.0637145114298,0.15610318611,0.0853943203737,0.0911587206211,0.0779729682942,0.0921605296624,0.150543673022,0.2246133588,0.244150882305,0.307862391196,0.229058904098,0.146869054358,0.18526738511
14,0.0462498812925,0.076492894446,0.244546326404,0.110499914417,0.55041628316,0.104644602529,0.0830911410695,0.092370396915,0.0675282219372,0.0962112921066,0.0770032803415,0.158079992774,0.107488354122,2.58350262842,0.170733992298,0.10563888687,0.0787278188689,0.145380044627,0.0784954008009,0.0911587211777,0.093933482617,0.119812760093,0.150543675642,0.156106013361,0.244150879455,0.155466304522,0.184753816505,0.14686905419,0.350020325644
15,0.0543143464882,0.0764928954254,0.171235626732,0.110499913478,0.56023960457,0.104644604568,0.0830911408764,0.103988593533,0.0675282218105,0.0935614155842,0.0770145952182,0.124946240179,0.129439274081,0.135864773611,0.120329766796,0.10469219955,0.0787278154463,0.156103186643,0.0866792248733,0.0721527870041,0.0943448822829,0.119812760383,0.136810771526,0.214651291734,0.15591063777,0.196418739876,0.229058905918,0.146869053769,0.260918883739
16,0.0515894553676,0.0764928945294,0.15784216988,0.0989218144227,0.552548315904,0.104644605431,0.0601843651782,0.0902294366086,0.0485545671577,0.0902070289469,0.0765040082033,0.135293363015,0.129439277403,0.138086230555,0.123492250331,0.10563888624,0.0588987229997,0.156103186241,0.0853943134648,0.0719672543588,0.0941537403955,0.119812759345,0.136356023432,0.125066086464,0.244150882392,0.30786239447,0.229058903029,0.146869054471,0.21867916682
17,0.0543143458663,0.0764928952133,0.161139074447,0.102361166801,1.06420869925,0.104644604454,0.083091141232,0.110918189853,0.0499819655878,0.096211292363,0.0770032798468,0.0966833442686,0.0891466177617,0.128047450463,0.170733992251,0.105638887364,0.0598185785505,0.155308430277,0.0853943183109,0.0715480336431,0.0845228218452,0.119812760972,0.150543674835,0.224613346695,0.162889548043,0.174389707718,0.183653327604,0.146869057664,0.171696657631
18,0.0543143455592,0.0764928940939,0.244179267171,0.110499914327,1.06420871345,0.104644603881,0.0830911430042,0.0921963354283,0.0493717843432,0.096211294087,0.0770032793991,0.116862302897,0.0819912773351,0.130724271217,0.116548483703,0.105638887227,0.0603573278946,0.156103186824,0.0708167016163,0.0724502904555,0.115386203147,0.0805225908505,0.149551985654,0.173456842211,0.244150876688,0.189977157965,0.229058907996,0.146869054381,0.17737962587
19,0.0543143448048,0.0764928943018,0.15860145157,0.110499915109,0.55019043344,0.0844766399809,0.0830911410733,0.105857898392,0.0675282222585,0.0962112938776,0.0754044237366,0.15807999165,0.126120813421,2.58350263214,0.170733990879,0.105638887193,0.0787113030915,0.156103186643,0.0830305667586,0.0811764463641,0.115386201427,0.0941022771347,0.14751151799,0.224599630706,0.174302724747,0.169510452342,0.158005435595,0.146869051394,0.171760765179
